date,EUR,GBP,JPY
1999-07-06,-0.137,0.5911,0.0082
1999-07-07,0.4211,0.1827,0.3433
1999-07-08,-0.103,0.3023,0.0041
1999-07-09,-0.0049,0.2612,-0.2328
1999-07-10,0.1275,-0.0516,0.1226
1999-07-11,0.4674,-0.1967,-0.1635
1999-07-12,-0.261,-0.2316,-0.4963
1999-07-13,-0.0689,-0.1252,-0.5484
1999-07-14,-0.4609,-0.5409,-0.2898
1999-07-15,0.1616,-0.0255,0.2071
1999-07-16,0.0343,0.2076,-0.0248
1999-07-17,-0.0882,0.0,0.1406
1999-07-18,0.614,0.3204,-0.8426
1999-07-19,-2.2462,-0.9324,-1.3174
1999-07-20,-0.8252,0.0129,0.4341
1999-07-21,-0.3721,-0.4979,-0.8658
1999-07-22,-0.0095,-0.0663,-1.1433
1999-07-23,-0.2473,0.2212,0.1415
1999-07-24,-0.0379,0.0193,0.0771
1999-07-25,-1.1093,-0.6914,-0.3345
1999-07-26,0.1551,-0.0976,0.0987
1999-07-27,0.127,0.0,-0.4085
1999-07-28,-0.6148,-0.7046,-0.5617
1999-07-29,-0.0934,-1.1112,-0.1952
1999-07-30,-0.1402,-0.1018,-0.5354
1999-07-31,-0.0373,-0.0123,0.0
1999-08-01,0.4489,0.2562,-0.2141
1999-08-02,0.0984,0.0834,0.858
1999-08-03,-1.0501,-0.4075,-0.5566
1999-08-04,-0.1762,0.3085,-0.2926
1999-08-05,0.4086,0.13,0.2141
1999-08-06,0.3963,0.4559,0.2398
1999-08-07,-0.1493,-0.0341,0.2652
1999-08-08,0.2101,0.2176,0.1172
1999-08-09,-0.3918,-0.4939,-0.4347
1999-08-10,0.4947,0.0868,0.2089
1999-08-11,0.4315,0.2175,0.6586
1999-08-12,-0.2675,-0.1927,-0.7325
1999-08-13,0.8993,0.4416,0.7152
1999-08-14,0.0047,-0.056,0.0518
1999-08-15,-0.0283,0.0873,-0.8454
1999-08-16,0.5025,0.3184,-0.2878
1999-08-17,-0.1235,-0.3684,-1.2699
1999-08-18,0.0285,0.1123,-1.4252
1999-08-19,-1.2786,-0.959,0.0852
1999-08-20,-0.0843,0.204,-0.2872
1999-08-21,0.047,0.0,0.036
1999-08-22,0.3519,0.1207,-0.1439
1999-08-23,1.1921,0.9968,0.5609
1999-08-24,0.5632,0.5305,-0.5834
1999-08-25,0.0335,0.0378,0.2068
1999-08-26,-0.1197,0.0472,0.2243
1999-08-27,-0.774,-0.041,-0.1121
1999-08-28,0.5591,0.0,-0.0718
1999-08-29,0.2197,-0.0253,-0.2967
1999-08-30,-0.8285,-0.9336,-1.2733
1999-08-31,-0.6335,-0.3518,-0.2374
1999-09-01,-0.5077,0.1245,-0.2746
1999-09-02,-0.1966,-0.0778,0.7307
1999-09-03,0.6855,0.3269,0.1546
1999-09-04,0.3304,-0.1651,-0.3573
1999-09-05,-0.17,0.0904,-0.0433
