date_serial,ABT,BP,CL,EK,FDX,KO,WMT,PEP,PG,WYE
2450576,-0.985073107,-1.93157893,-1.467796183,-2.424361161,0.461894586,-1.713851004,-1.301231654,-0.359265275,-1.142869582,0.5234503
2450577,0.192184556,2.127739845,1.244809934,-0.615386557,0.239344678,-1.153947723,3.054732486,0,0.092350322,1.052715175
2450578,0,-0.174978172,-0.332809774,1.227009259,-0.917437628,1.153947723,-0.858374369,2.777956411,0.852104973,-0.350263055
2450581,1.374103592,3.119837086,1.551130177,1.065901565,0.220426246,1.713851004,2.760441079,1.011905257,1.407996757,1.403531812
2450582,0.187324438,-0.511056954,-0.218340698,-0.907721815,-0.455581654,0,0,0,-1.036123092,0.854470469
2450583,0,-3.908455685,0.216430782,-0.158179749,-2.057383369,0.373832211,0,0,-2.274893371,0.163132173
2450584,3.409679493,0.352734052,0.538455936,0,-1.15221494,1.290149132,1.652930195,1.021788938,2.846383956,1.353750199
2450585,-0.93149712,-0.881062968,-3.507856251,-2.469261259,-1.658537829,-1.484367465,-2.087205139,-1.001768226,-1.895719495,0.513098614
2450588,0.181653093,-0.176360668,1.535117866,-0.162632174,0.695687679,1.109068669,1.652930195,2.374639373,1.051919144,0.673403218
2450589,-0.567616773,0.701757266,-0.655024176,1.404884174,-0.225098576,0.542642675,0.823049914,0.320513095,1.79122803,0.521907516
2450590,-2.138534632,0.347826438,-0.639547392,-0.160622756,-3.08949057,-1.473431695,-1.652930195,-3.390155168,0.74554882,-0.866759227
2450591,-0.189155164,-0.522194398,0,0.776009314,0.96154587,-1.299786731,-1.236027094,-1.731403207,1.28910481,0.854470469
2450592,0.391389932,-0.173304262,0.853143505,1.374968428,1.678147696,1.852041973,0.399202127,2.777956411,0.450287637,0.335008689
2450596,0.97347291,0.774072564,3.725653036,2.092752011,-2.180922106,0.556288947,0.840482339,2.40711841,0.639119032,0.495415086
2450597,-1.368699098,-0.518583703,-1.436199393,-1.192335576,-0.486618965,-1.476041558,0.434274943,2.054126278,0.269453609,-0.670064153
2450598,-0.396040122,0,-0.405954549,0,0,0.37105794,0.399202127,0.34838572,-0.460476639,-0.337268448
2450599,1.390576232,2.007875597,1.43039881,-0.4575014,1.210040693,1.470614739,-0.434274943,-0.677968699,2.01464636,3.005234507
2450602,-1.379550936,-0.523104942,-1.83800807,0,0.471654492,-1.103033465,1.22578974,0.344965182,-2.124982783,-1.320151186
2450603,1.192857087,0.780818245,1.23036412,0.900961107,0.226671801,0.369031344,1.20581549,1.639814581,1.025726808,0.493762263
2450604,-0.396794426,0.963761912,0,-0.443459707,0.244982691,-1.858927795,0.389484426,-5.406722127,0.187793482,-0.333890127
2450605,-0.795169584,0.868815196,0.602109195,0.598804184,1.846206284,-0.18028851,0,0,-0.097513416,-0.174064448
2450606,2.163868682,1.895400788,2.185879381,1.481508579,4.546237408,1.681962699,1.996202795,0.648650923,1.941664675,2.496478077
2450609,1.550418654,0,1.576371312,-0.746139543,-2.029341438,0.923963455,0.787529665,0.697989411,1.085001602,0.809826787
2450610,-0.970208581,-0.505569158,0.576555088,-0.297636984,-1.131192504,-0.189961334,-1.98838806,0.640002185,0.09331372,-1.298719553
2450611,1.535656714,0,0.382531547,-5.200266342,0,0,1.186481772,1.008233534,0.71875534,1.448738312
2450612,0.754720564,0.163688483,0,1.092364387,-0.220426246,1.077209698,0.380228595,0.623378642,3.102451529,0.956945102
2450613,0,0.33613477,0.939121004,-0.783245131,4.274308383,2.10918955,0.784317746,1.941808586,0.091026859,2.843793532
2450616,-0.753355981,0.507954574,0,0.622124689,-1.324522675,-0.348456691,2.307439706,-0.311203571,-1.054491318,-1.88993908
2450617,-0.579623343,0.162579632,0.397678087,-0.173805134,1.330396563,0,0.751770192,0.991916251,-0.264635566,0.956945102
2450618,0.588601452,-0.684934185,-0.383264602,-1.577419294,2.808296874,-0.349675159,0,1.298719553,-0.539084863,-1.610340757
