date,BTC,ETH
2021-07-18,0.5632,1.1597
2021-07-19,-1.8276,-0.3611
2021-07-20,-4.4273,-4.0223
2021-07-21,4.5452,-1.7433
2021-07-22,2.8803,11.0424
2021-07-23,1.1126,1.4851
2021-07-24,4.1476,4.8337
2021-07-25,1.4725,2.8744
2021-07-26,10.8479,0.2569
2021-07-27,-1.6627,1.6835
2021-07-28,5.5802,3.1635
2021-07-29,-0.0342,-0.0442
2021-07-30,-0.5249,3.5012
2021-07-31,4.8346,3.3895
2021-08-01,-0.4431,2.6191
2021-08-02,-4.4726,1.0961
2021-08-03,-2.9567,1.9893
2021-08-04,0.6996,-3.9682
2021-08-05,1.7875,8.3362
2021-08-06,4.8165,3.7422
2021-08-07,5.1115,2.1968
2021-08-08,1.681,8.9475
2021-08-09,1.3399,-4.7865
2021-08-10,1.5692,4.8881
2021-08-11,1.0684,-0.7616
2021-08-12,-2.5886,0.7146
2021-08-13,2.9276,-3.8238
2021-08-14,1.8723,8.7538
2021-08-15,-1.4724,-1.7425
2021-08-16,1.0723,1.3549
2021-08-17,-2.0672,-5.0862
2021-08-18,-1.7934,-4.3943
2021-08-19,0.2072,0.0773
2021-08-20,5.5046,5.5122
2021-08-21,2.5861,3.1175
2021-08-22,-0.3524,-1.8153
2021-08-23,2.0359,0.4815
2021-08-24,-2.0263,2.3804
2021-08-25,-1.2608,-4.5257
2021-08-26,-1.9628,1.7126
2021-08-27,0.8683,-4.2821
2021-08-28,2.3737,5.7319
2021-08-29,-0.4935,-0.8888
2021-08-30,-1.1696,-0.6493
2021-08-31,-1.6135,0.0297
2021-09-01,0.8302,6.1806
2021-09-02,4.0264,10.9835
2021-09-03,0.4803,-1.1191
2021-09-04,0.2796,3.8884
2021-09-05,0.6321,-1.3115
2021-09-06,2.7569,1.669
2021-09-07,-3.7868,-0.5989
2021-09-08,-7.4497,-13.591
2021-09-09,0.3076,1.9961
2021-09-10,-1.1065,-2.168
2021-09-11,-1.1431,-6.5117
2021-09-12,0.5444,1.7727
2021-09-13,-1.785,4.2632
2021-09-14,2.7527,-3.6471
2021-09-15,3.2324,4.4795
2021-09-16,0.6319,5.0746
2021-09-17,-0.6342,-1.2683
2021-09-18,1.3791,-4.905
2021-09-19,-1.1049,1.1147
2021-09-20,-6.7951,-3.1906
2021-09-21,-4.9246,-11.2205
2021-09-22,0.3132,-7.3829
2021-09-23,3.533,10.7603
2021-09-24,-2.2489,2.4809
2021-09-25,-1.1995,-7.3869
2021-09-26,0.4927,-0.1948
2021-09-27,1.6551,4.6464
2021-09-28,-3.7598,-4.5471
2021-09-29,-0.2008,-4.2107
2021-09-30,3.4686,1.5704
2021-10-01,6.2324,5.1111
2021-10-02,3.7113,9.8028
2021-10-03,0.4176,2.4137
2021-10-04,0.2298,0.8423
2021-10-05,3.9615,-1.0217
2021-10-06,5.5204,3.86
2021-10-07,2.6237,1.6795
2021-10-08,0.1763,0.2834
2021-10-09,0.5549,-0.7365
2021-10-10,0.7814,0.3767
2021-10-11,2.7197,-4.4601
2021-10-12,-0.2008,3.6166
2021-10-13,-1.2886,-1.5621
2021-10-14,3.1162,3.3201
2021-10-15,3.8887,4.9551
2021-10-16,2.2152,2.0404
2021-10-17,-0.6938,-1.0974
2021-10-18,1.5453,0.519
2021-10-19,1.5208,-2.6243
2021-10-20,3.5064,3.426
2021-10-21,-1.0865,7.0625
2021-10-22,-3.3626,-2.5615
2021-10-23,-1.7457,-2.1125
2021-10-24,-0.6017,4.8788
2021-10-25,3.1472,-2.1011
2021-10-26,-0.5572,3.2883
2021-10-27,-4.6529,-2.1432
2021-10-28,1.2389,-5.0778
2021-10-29,2.2957,8.853
2021-10-30,0.016,2.932
2021-10-31,-0.8658,-2.891
2021-11-01,0.2702,0.7711
2021-11-02,2.1652,5.9903
2021-11-03,0.3851,0.3219
2021-11-04,-1.6415,-1.4805
2021-11-05,-0.4677,-1.2738
2021-11-06,-0.8935,0.9286
2021-11-07,1.9527,2.0851
2021-11-08,5.6845,4.1203
2021-11-09,2.5357,-1.66
2021-11-10,-1.0313,-2.061
2021-11-11,-2.9012,1.873
2021-11-12,-1.1818,-1.1595
2021-11-13,-0.1435,-0.4783
2021-11-14,0.6792,-0.427
2021-11-15,0.8936,-1.3625
2021-11-16,-6.8641,-8.0611
2021-11-17,-1.3918,1.873
2021-11-18,-1.5047,-7.0181
2021-11-19,-3.0377,7.235
2021-11-20,2.5763,2.6448
2021-11-21,0.7856,-3.437
2021-11-22,-3.1123,-4.1926
2021-11-23,-0.8076,5.9721
2021-11-24,-0.2645,-1.5834
2021-11-25,2.6481,5.6911
2021-11-26,-4.639,-11.3541
2021-11-27,-1.7073,1.5045
2021-11-28,-0.0765,4.7048
2021-11-29,5.2418,3.4359
2021-11-30,-0.4383,3.9873
