county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
39025,39,0.53348213,0.4481132,0.5629984,0.11488521,0.09950584,0.015379369,0.619444,-0.1656197,0.7850637,0.3912131,-0.3661537,0.7573668,0.15780699,-0.4000001,0.0049166083,0.016680803,0.13298988,12.15207,5.5,0.551893,32.313614
39027,39,0.39,0.55776894,0.716895,0.15912604,0.107066214,0.05205983,0.114603385,-0.14585188,0.26045525,-0.13638121,-0.32144624,0.18506505,-0.5823958,-0.2999997,0.040403783,-0.003649635,0.18341546,10.640054,5.6,0.543076,38.601727
39029,39,0.4962963,0.53246754,0.607565,0.07509744,0.0013670325,0.07373041,0.22606611,-0.3671829,0.593249,0.09412885,-0.369747,0.46387586,-0.080969065,-0.5,0.0010753274,-0.04581098,0.07176078,11.60627,7.3,0.48855937,25.947754
39031,39,0.539823,0.46666667,0.42335767,-0.043309003,0.0045976937,-0.047906697,0.03509132,-0.31177962,0.34687093,0.13248919,-0.32158363,0.4540728,0.21056476,0.4000001,-0.007475972,-0.022191402,0.087591164,10.528437,8.4,0.48467734,29.013472
39033,39,0.4682081,0.6210046,0.7015707,0.08056611,-0.001372695,0.0819388,-0.014815086,-0.29753438,0.28271928,-0.1367983,-0.29532152,0.15852323,-0.37578934,-0.8000002,0.0043950677,-0.026530612,0.069730476,10.726258,6.8,0.5017349,29.41802
39035,39,0.5029151,0.49116883,0.53894883,0.047780007,0.073949724,-0.026169717,0.19449814,-0.083220676,0.2777188,0.101665385,-0.22346827,0.32513365,0.0030581064,-0.099999905,0.0027241409,-0.020301577,0.15115173,14.10115,5.4,0.49215022,40.77276
39037,39,0.6022099,0.3799392,0.49146757,0.11152837,0.06296739,0.048560977,0.14149956,0.023716526,0.11778303,-0.11588514,-0.12963106,0.013745921,-0.3141737,-0.6000004,-0.0086839795,-0.03885805,0.10047257,10.881814,6.0,0.53280073,28.261889
39039,39,0.54362416,0.475,0.5833333,0.10833332,-0.021874994,0.13020831,0.100083455,-0.27029032,0.3703738,-0.105360515,-0.22314355,0.11778303,-0.33647224,-0.3000002,-0.0019937754,0.0,0.02180553,10.572573,6.2,0.52700454,35.70294
39041,39,0.4314721,0.49844238,0.5668693,0.06842694,0.053045005,0.015381932,0.15325743,-0.28352407,0.4367815,0.024616627,-0.38465512,0.40927175,-0.12206236,-0.2999997,-0.0060723424,0.16302575,0.19696678,11.912728,4.4,0.5599217,38.10417
39043,39,0.5042373,0.5019157,0.6236162,0.121700525,-0.120006144,0.24170667,0.2547014,-0.544464,0.79916537,0.037598412,-0.2712156,0.308814,-0.24256164,0.099999905,0.002364993,-0.038630806,0.20667674,11.265361,6.5,0.54877675,33.337563
