year,county,nonbank_loans,bank_loans
2012,1079,59.0,39.0
2013,1079,75.0,39.0
2014,1079,89.0,39.0
2015,1079,77.0,51.0
2016,1079,107.0,48.0
2006,1081,174.0,185.0
2007,1081,222.0,241.0
2008,1081,189.0,226.0
2009,1081,175.0,181.0
2010,1081,141.0,157.0
2011,1081,141.0,241.0
2012,1081,213.0,218.0
2013,1081,224.0,207.0
2014,1081,309.0,231.0
2015,1081,324.0,260.0
2016,1081,488.0,247.0
2006,1083,122.0,117.0
2007,1083,103.0,128.0
2008,1083,114.0,157.0
2009,1083,109.0,116.0
2010,1083,83.0,89.0
2011,1083,130.0,99.0
2012,1083,150.0,154.0
2013,1083,191.0,150.0
2014,1083,226.0,132.0
2015,1083,233.0,168.0
2016,1083,293.0,154.0
2006,1085,15.0,35.0
2007,1085,34.0,33.0
2008,1085,24.0,28.0
2009,1085,25.0,27.0
2010,1085,27.0,11.0
2011,1085,46.0,15.0
2012,1085,40.0,30.0
2013,1085,49.0,16.0
2014,1085,57.0,24.0
2015,1085,58.0,26.0
2016,1085,66.0,16.0
2006,1087,13.0,19.0
2007,1087,16.0,15.0
2008,1087,18.0,14.0
2009,1087,14.0,10.0
2010,1087,13.0,10.0
2011,1087,9.0,12.0
2012,1087,13.0,10.0
2013,1087,36.0,13.0
2014,1087,31.0,9.0
2015,1087,44.0,11.0
2016,1087,97.0,12.0
2006,1089,460.0,513.0
2007,1089,480.0,679.0
2008,1089,380.0,601.0
2009,1089,374.0,595.0
2010,1089,322.0,446.0
2011,1089,383.0,539.0
2012,1089,449.0,591.0
2013,1089,560.0,652.0
2014,1089,701.0,660.0
2015,1089,825.0,670.0
2016,1089,1207.0,636.0
2006,1091,54.0,100.0
2007,1091,63.0,93.0
2008,1091,46.0,65.0
2009,1091,48.0,55.0
2010,1091,42.0,94.0
2011,1091,54.0,97.0
2012,1091,58.0,119.0
2013,1091,108.0,116.0
2014,1091,85.0,125.0
2015,1091,93.0,101.0
2016,1091,91.0,113.0
2006,1093,39.0,78.0
2007,1093,42.0,71.0
2008,1093,33.0,62.0
2009,1093,29.0,71.0
2010,1093,36.0,45.0
2011,1093,35.0,63.0
2012,1093,37.0,69.0
2013,1093,49.0,84.0
2014,1093,35.0,74.0
2015,1093,57.0,84.0
2016,1093,62.0,63.0
2006,1095,148.0,193.0
2007,1095,153.0,219.0
2008,1095,148.0,203.0
2009,1095,142.0,193.0
2010,1095,122.0,132.0
2011,1095,133.0,199.0
2012,1095,169.0,217.0
2013,1095,188.0,243.0
2014,1095,226.0,216.0
2015,1095,269.0,240.0
2016,1095,379.0,241.0
2006,1097,586.0,608.0
2007,1097,618.0,704.0
2008,1097,471.0,581.0
2009,1097,417.0,500.0
2010,1097,392.0,432.0
2011,1097,471.0,538.0
2012,1097,597.0,591.0
2013,1097,750.0,715.0
2014,1097,796.0,658.0
2015,1097,1026.0,650.0
2016,1097,1512.0,647.0
2006,1099,46.0,114.0
2007,1099,40.0,80.0
2008,1099,40.0,53.0
2009,1099,36.0,53.0
2010,1099,42.0,61.0
2011,1099,53.0,82.0
2012,1099,61.0,91.0
2013,1099,79.0,108.0
2014,1099,106.0,127.0
2015,1099,121.0,146.0
2016,1099,86.0,104.0
2006,1101,303.0,488.0
2007,1101,306.0,539.0
2008,1101,254.0,496.0
2009,1101,266.0,371.0
2010,1101,204.0,347.0
2011,1101,255.0,460.0
2012,1101,322.0,437.0
2013,1101,443.0,415.0
2014,1101,462.0,421.0
2015,1101,697.0,398.0
2016,1101,950.0,422.0
2006,1103,183.0,228.0
2007,1103,208.0,289.0
2008,1103,200.0,249.0
2009,1103,176.0,223.0
2010,1103,133.0,145.0
2011,1103,179.0,186.0
2012,1103,181.0,244.0
2013,1103,369.0,274.0
2014,1103,275.0,232.0
2015,1103,377.0,298.0
2016,1103,441.0,311.0
2006,1105,14.0,11.0
2007,1105,9.0,7.0
2008,1105,7.0,16.0
2009,1105,6.0,3.0
2010,1105,14.0,11.0
2011,1105,9.0,10.0
2012,1105,8.0,12.0
2013,1105,12.0,11.0
2014,1105,17.0,17.0
2015,1105,10.0,15.0
2016,1105,19.0,21.0
2006,1107,63.0,32.0
2007,1107,33.0,17.0
2008,1107,50.0,30.0
2009,1107,31.0,35.0
2010,1107,28.0,28.0
2011,1107,35.0,28.0
2012,1107,45.0,26.0
2013,1107,35.0,26.0
2014,1107,48.0,30.0
2015,1107,60.0,30.0
2016,1107,69.0,39.0
2006,1109,86.0,132.0
2007,1109,80.0,97.0
2008,1109,52.0,85.0
2009,1109,57.0,123.0
2010,1109,72.0,69.0
2011,1109,73.0,93.0
2012,1109,89.0,95.0
2013,1109,102.0,108.0
2014,1109,117.0,113.0
2015,1109,120.0,103.0
2016,1109,168.0,133.0
2006,1111,52.0,56.0
2007,1111,35.0,48.0
2008,1111,23.0,33.0
2009,1111,22.0,41.0
2010,1111,19.0,35.0
2011,1111,35.0,44.0
2012,1111,50.0,36.0
2013,1111,48.0,38.0
2014,1111,52.0,62.0
2015,1111,66.0,57.0
2016,1111,73.0,61.0
2006,1113,47.0,42.0
2007,1113,43.0,53.0
2008,1113,37.0,39.0
2009,1113,27.0,34.0
2010,1113,33.0,16.0
2011,1113,23.0,39.0
2012,1113,46.0,51.0
2013,1113,60.0,53.0
2014,1113,41.0,36.0
2015,1113,70.0,40.0
2016,1113,96.0,56.0
2006,1115,100.0,118.0
2007,1115,104.0,102.0
2008,1115,87.0,88.0
2009,1115,74.0,70.0
2010,1115,55.0,40.0
2011,1115,104.0,60.0
2012,1115,126.0,87.0
2013,1115,148.0,101.0
2014,1115,166.0,110.0
2015,1115,179.0,123.0
2016,1115,255.0,113.0
2006,1117,275.0,384.0
2007,1117,282.0,391.0
2008,1117,302.0,330.0
2009,1117,274.0,327.0
2010,1117,186.0,322.0
2011,1117,339.0,411.0
2012,1117,312.0,434.0
2013,1117,410.0,526.0
2014,1117,447.0,446.0
2015,1117,600.0,562.0
2016,1117,689.0,652.0
2006,1119,35.0,27.0
2007,1119,21.0,13.0
2008,1119,11.0,13.0
2009,1119,22.0,12.0
2010,1119,15.0,14.0
2011,1119,13.0,25.0
2012,1119,70.0,38.0
2013,1119,40.0,25.0
2014,1119,32.0,34.0
2015,1119,40.0,25.0
2016,1119,66.0,36.0
2006,1121,108.0,139.0
2007,1121,121.0,127.0
2008,1121,106.0,121.0
2009,1121,97.0,78.0
2010,1121,92.0,69.0
2011,1121,131.0,85.0
2012,1121,184.0,100.0
2013,1121,170.0,99.0
2014,1121,171.0,113.0
2015,1121,204.0,109.0
2016,1121,299.0,98.0
2006,1123,60.0,82.0
2007,1123,69.0,68.0
2008,1123,58.0,58.0
2009,1123,47.0,39.0
2010,1123,35.0,44.0
2011,1123,39.0,64.0
2012,1123,52.0,71.0
2013,1123,63.0,92.0
2014,1123,63.0,80.0
2015,1123,73.0,63.0
2016,1123,175.0,86.0
2006,1125,295.0,387.0
2007,1125,350.0,404.0
2008,1125,254.0,396.0
2009,1125,237.0,299.0
2010,1125,193.0,230.0
2011,1125,278.0,278.0
2012,1125,394.0,342.0
2013,1125,399.0,325.0
2014,1125,447.0,352.0
2015,1125,588.0,336.0
2016,1125,762.0,358.0
2006,1127,83.0,132.0
2007,1127,93.0,149.0
2008,1127,76.0,113.0
2009,1127,64.0,99.0
2010,1127,56.0,77.0
2011,1127,88.0,125.0
2012,1127,111.0,108.0
2013,1127,114.0,115.0
2014,1127,107.0,109.0
2015,1127,100.0,112.0
2016,1127,188.0,132.0
2006,1129,39.0,39.0
2007,1129,36.0,52.0
2008,1129,21.0,45.0
2009,1129,33.0,19.0
2010,1129,34.0,18.0
2011,1129,33.0,20.0
2012,1129,52.0,37.0
2013,1129,45.0,43.0
2014,1129,70.0,26.0
2015,1129,45.0,30.0
2016,1129,77.0,36.0
2006,1131,30.0,20.0
2007,1131,32.0,32.0
2008,1131,16.0,36.0
2009,1131,15.0,24.0
2010,1131,14.0,35.0
2011,1131,18.0,51.0
2012,1131,31.0,45.0
2013,1131,34.0,43.0
2014,1131,22.0,61.0
2015,1131,43.0,50.0
2016,1131,37.0,53.0
2006,1133,38.0,99.0
2007,1133,36.0,76.0
2008,1133,21.0,65.0
2009,1133,20.0,87.0
2010,1133,15.0,43.0
2011,1133,28.0,63.0
2012,1133,33.0,79.0
2013,1133,35.0,55.0
2014,1133,30.0,68.0
2015,1133,29.0,79.0
2016,1133,35.0,107.0
2006,2013,2.0,1.0
2007,2013,0.0,2.0
2008,2013,0.0,5.0
2010,2013,1.0,0.0
2012,2013,1.0,0.0
2013,2013,1.0,1.0
2014,2013,2.0,3.0
2015,2013,0.0,1.0
2016,2013,6.0,0.0
2006,2016,6.0,3.0
2007,2016,6.0,3.0
2008,2016,2.0,0.0
2009,2016,7.0,2.0
2010,2016,7.0,1.0
2011,2016,5.0,1.0
2012,2016,4.0,5.0
2013,2016,5.0,1.0
2014,2016,3.0,1.0
2015,2016,7.0,3.0
2016,2016,5.0,2.0
2006,2020,508.0,543.0
2007,2020,473.0,483.0
2008,2020,430.0,517.0
2009,2020,411.0,425.0
2010,2020,322.0,396.0
2011,2020,373.0,457.0
2012,2020,383.0,478.0
2013,2020,559.0,580.0
2014,2020,522.0,553.0
2015,2020,489.0,537.0
2016,2020,432.0,474.0
2006,2050,3.0,8.0
2007,2050,3.0,4.0
2008,2050,6.0,11.0
2009,2050,5.0,9.0
2010,2050,1.0,3.0
2011,2050,1.0,11.0
2012,2050,8.0,9.0
2013,2050,3.0,5.0
2014,2050,5.0,6.0
2015,2050,6.0,15.0
2016,2050,16.0,15.0
2006,2060,0.0,3.0
2007,2060,0.0,2.0
2008,2060,3.0,2.0
2009,2060,2.0,4.0
2010,2060,1.0,1.0
2011,2060,2.0,1.0
2012,2060,1.0,3.0
2013,2060,0.0,4.0
2014,2060,2.0,7.0
2015,2060,3.0,7.0
2016,2060,2.0,7.0
2006,2068,1.0,4.0
2007,2068,2.0,1.0
2008,2068,2.0,1.0
2009,2068,2.0,8.0
2010,2068,0.0,4.0
2011,2068,1.0,6.0
2012,2068,0.0,4.0
2013,2068,2.0,13.0
2014,2068,1.0,12.0
2015,2068,1.0,14.0
2016,2068,3.0,5.0
2006,2070,3.0,1.0
2007,2070,0.0,4.0
2008,2070,0.0,3.0
2009,2070,1.0,2.0
2010,2070,1.0,0.0
2011,2070,1.0,4.0
2012,2070,2.0,0.0
2013,2070,0.0,5.0
2014,2070,3.0,5.0
2015,2070,7.0,8.0
2016,2070,1.0,4.0
2006,2090,117.0,218.0
2007,2090,103.0,270.0
2008,2090,135.0,224.0
2009,2090,111.0,196.0
2010,2090,80.0,202.0
2011,2090,91.0,214.0
2012,2090,98.0,230.0
2013,2090,150.0,239.0
2014,2090,164.0,263.0
2015,2090,163.0,254.0
2016,2090,138.0,253.0
2006,2100,3.0,4.0
2007,2100,3.0,3.0
2008,2100,8.0,2.0
2009,2100,7.0,4.0
2010,2100,1.0,1.0
2011,2100,4.0,6.0
2012,2100,0.0,4.0
2013,2100,6.0,3.0
2014,2100,5.0,6.0
2015,2100,6.0,5.0
2016,2100,4.0,5.0
2006,2110,70.0,66.0
2007,2110,61.0,58.0
2008,2110,50.0,53.0
2009,2110,48.0,51.0
2010,2110,38.0,37.0
2011,2110,56.0,60.0
2012,2110,41.0,60.0
2013,2110,81.0,57.0
2014,2110,85.0,66.0
2015,2110,60.0,77.0
